having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,SFH,Submitting_to_email,Redirect,RightClick,Iframe,age_of_domain,web_traffic,Page_Rank,Google_Index,Statistical_report,Result
-1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1
1,1,1,1,1,-1,0,1,-1,1,1,-1,1,0,-1,1,0,1,1,-1,0,-1,1,1,-1
1,0,1,1,1,-1,-1,-1,-1,1,1,-1,1,0,-1,-1,0,1,1,1,1,-1,1,-1,-1
1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,0,-1,1,0,1,1,-1,1,-1,1,1,-1
1,0,-1,1,1,-1,1,1,-1,1,1,1,1,0,-1,1,0,1,1,-1,0,-1,1,1,1
-1,0,-1,1,-1,-1,1,1,-1,1,1,-1,1,0,-1,-1,0,1,1,1,1,-1,1,-1,1
1,0,-1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,0,1,1,1,-1,-1,1,-1,-1
1,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,0,-1,1,0,1,1,-1,0,-1,1,1,-1
1,0,-1,1,1,-1,1,1,-1,1,1,-1,1,0,-1,1,0,1,1,1,1,1,1,1,1
1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,0,-1,1,0,1,1,1,0,-1,1,1,-1
1,1,1,1,1,-1,0,1,1,1,1,1,-1,0,-1,-1,0,1,1,-1,1,1,1,-1,1
1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,0,1,1,-1,-1,-1,1,-1,-1
-1,1,-1,1,-1,-1,0,0,1,1,1,-1,-1,-1,-1,1,0,1,1,1,-1,-1,1,1,-1
1,1,-1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,1,0,1,1,-1,0,-1,1,1,-1
1,1,-1,1,1,1,-1,1,-1,1,1,-1,1,0,1,1,0,1,1,1,1,-1,1,1,1
1,-1,-1,-1,1,-1,0,0,1,1,1,1,-1,-1,-1,1,0,1,1,1,-1,-1,1,1,-1
1,-1,-1,1,1,-1,1,1,-1,1,1,-1,1,0,-1,-1,0,1,1,1,0,-1,1,-1,-1
1,-1,1,1,1,-1,-1,0,1,1,-1,1,1,0,-1,-1,0,1,1,-1,1,-1,1,-1,-1
1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,0,-1,-1,0,1,1,1,-1,1,1,-1,1
1,1,1,1,1,-1,-1,1,-1,1,1,1,1,0,-1,-1,0,-1,-1,1,0,-1,1,-1,1
1,0,-1,1,1,-1,0,1,-1,1,1,1,1,0,-1,-1,0,1,1,-1,1,-1,1,-1,1
1,0,1,1,1,-1,0,1,1,1,1,-1,-1,0,-1,-1,0,1,1,-1,-1,-1,1,-1,1
1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,0,-1,1,0,1,1,1,0,-1,1,1,1
1,1,1,1,1,-1,1,0,-1,1,1,1,1,0,-1,1,0,1,1,1,1,-1,1,1,1
1,-1,-1,-1,1,-1,1,1,-1,1,1,-1,-1,0,-1,1,0,1,1,1,-1,-1,1,1,1
